Purple Coordinates;Orange Coordinates
(1188, 36);(882, 605)
(1190, 45);(888, 601)
(1190, 45);(886, 605)
(1193, 42);(887, 606)
(1190, 38);(887, 607)
(1188, 45);(887, 607)
(1190, 45);(887, 607)
(1186, 38);(889, 607)
(1185, 39);(887, 604)
(1180, 42);(889, 603)
(1180, 41);(889, 602)
(1180, 34);(885, 602)
(1180, 34);(885, 602)
(1181, 34);(888, 600)
(1180, 41);(886, 600)
(1182, 41);(879, 606)
(1182, 42);(885, 602)
(1182, 32);(881, 605)
(1182, 36);(886, 601)
(1182, 34);(885, 600)
(1182, 39);(885, 599)
(1182, 40);(885, 599)
(1184, 34);(892, 596)
(1187, 37);(887, 596)
(1184, 39);(887, 596)
(1183, 40);(892, 596)
(1183, 40);(892, 596)
(1180, 39);(884, 598)
(1180, 39);(881, 595)
(1178, 39);(881, 594)
(1178, 39);(877, 598)
(1180, 39);(878, 597)
(1180, 39);(878, 598)
(1183, 36);(878, 597)
(1178, 39);(884, 597)
(1180, 32);(882, 597)
(1178, 39);(878, 599)
(1178, 39);(880, 599)
(1178, 34);(880, 599)
(1178, 33);(880, 597)
(1176, 39);(877, 603)
(1176, 39);(877, 602)
(1176, 32);(877, 602)
(1176, 32);(875, 602)
(1176, 32);(873, 601)
(1176, 32);(870, 600)
(1176, 32);(870, 600)
(1176, 32);(870, 600)
(1176, 39);(871, 600)
(1176, 39);(871, 599)
(1178, 39);(871, 599)
(1178, 41);(873, 598)
(1178, 34);(873, 597)
(1178, 41);(873, 597)
(1178, 41);(874, 597)
(1179, 34);(873, 597)
(1180, 34);(873, 598)
(1180, 34);(873, 598)
(1179, 33);(873, 598)
(1179, 33);(873, 598)
(1178, 40);(876, 600)
(1178, 40);(876, 602)
(1178, 40);(876, 602)
(1178, 40);(876, 602)
(1178, 34);(873, 598)
(1178, 34);(871, 598)
(1178, 34);(871, 597)
(1177, 34);(871, 598)
(1176, 34);(871, 596)
(1176, 41);(871, 596)
(1176, 41);(870, 597)
(1180, 36);(870, 596)
(1180, 36);(870, 596)
(1180, 36);(870, 597)
(1178, 41);(872, 597)
(1178, 41);(873, 598)
(1178, 41);(875, 597)
(1178, 41);(875, 600)
(1178, 41);(875, 600)
(1176, 41);(875, 600)
(1176, 42);(877, 595)
(1176, 41);(870, 598)
(1176, 41);(870, 598)
(1176, 36);(870, 598)
(1176, 42);(870, 598)
(1176, 42);(870, 598)
(1176, 42);(870, 598)
(1176, 41);(870, 598)
(1174, 42);(868, 598)
(1174, 42);(868, 598)
(1174, 42);(868, 599)
(1174, 42);(868, 600)
(1176, 41);(865, 599)
(1176, 42);(865, 599)
(1176, 36);(864, 596)
(1176, 36);(864, 596)
(1176, 36);(864, 596)
(1176, 42);(864, 596)
(1175, 36);(869, 598)
(1174, 41);(869, 599)
(1174, 41);(869, 599)
(1174, 41);(864, 599)
(1174, 41);(864, 599)
(1174, 41);(864, 599)
(1172, 41);(863, 599)
(1174, 41);(864, 599)
(1172, 36);(865, 599)
(1170, 41);(865, 599)
(1170, 41);(865, 599)
(1170, 41);(865, 599)
(1172, 41);(871, 599)
(1174, 34);(871, 599)
(1174, 41);(872, 599)
(1174, 41);(872, 600)
(1174, 41);(872, 601)
(1174, 36);(873, 601)
(1174, 36);(874, 601)
(1172, 42);(874, 600)
(1174, 36);(874, 600)
(1174, 36);(873, 599)
(1174, 36);(871, 598)
(1173, 36);(871, 597)
(1171, 43);(870, 597)
(1172, 38);(859, 595)
(1172, 45);(859, 594)
(1172, 45);(864, 594)
(1172, 45);(864, 594)
(1174, 43);(866, 595)
(1174, 43);(872, 597)
(1174, 43);(872, 597)
(1174, 43);(872, 598)
(1174, 43);(870, 598)
(1174, 43);(867, 597)
(1174, 43);(867, 597)
(1176, 43);(870, 598)
(1176, 43);(872, 598)
(1176, 44);(872, 600)
(1176, 44);(873, 600)
(1176, 44);(874, 600)
(1176, 34);(874, 595)
(1176, 34);(871, 595)
(1174, 34);(871, 595)
(1174, 34);(869, 601)
(1173, 40);(869, 601)
(1174, 34);(869, 602)
(1174, 34);(869, 603)
(1174, 34);(872, 603)
(1176, 40);(872, 602)
(1176, 40);(872, 602)
(1176, 39);(872, 601)
(1178, 32);(872, 601)
(1178, 32);(871, 601)
(1180, 32);(872, 601)
(1180, 32);(872, 603)
(1180, 32);(872, 604)
(1180, 39);(877, 605)
(1180, 39);(879, 605)
(1183, 38);(879, 605)
(1183, 38);(879, 605)
(1183, 38);(878, 603)
(1180, 36);(877, 603)
(1180, 36);(877, 603)
(1182, 42);(877, 603)
(1182, 42);(877, 603)
(1182, 36);(874, 603)
(1182, 36);(877, 603)
(1180, 36);(873, 604)
(1183, 39);(873, 604)
(1180, 36);(878, 604)
(1180, 36);(887, 600)
(1180, 36);(883, 602)
(1181, 36);(883, 602)
(1178, 39);(880, 600)
(1178, 39);(883, 599)
(1178, 39);(883, 600)
(1176, 37);(885, 600)
(1176, 30);(886, 599)
(1176, 30);(890, 595)
(1178, 30);(889, 597)
(1178, 30);(881, 602)
(1176, 30);(875, 602)
(1178, 37);(875, 602)
(1178, 37);(875, 602)
(1178, 37);(873, 603)
(1178, 32);(881, 604)
(1178, 32);(881, 605)
(1178, 32);(873, 603)
(1176, 32);(871, 603)
(1176, 32);(884, 596)
(1176, 35);(884, 595)
(1176, 35);(878, 600)
(1176, 35);(869, 602)
(1174, 30);(878, 600)
(1179, 33);(879, 600)
(1176, 37);(880, 598)
(1176, 37);(880, 598)
(1176, 37);(880, 598)
(1176, 38);(869, 603)
(1176, 40);(869, 604)
(1174, 36);(869, 604)
(1178, 43);(869, 604)
(1178, 43);(868, 607)
(1178, 43);(870, 607)
(1178, 36);(869, 607)
(1177, 36);(868, 607)
(1176, 42);(869, 607)
(1176, 42);(872, 608)
(1178, 36);(869, 609)
(1178, 36);(872, 607)
(1178, 36);(872, 607)
(1178, 36);(872, 607)
(1173, 40);(872, 608)
(1176, 43);(872, 607)
(1176, 43);(872, 607)
(1176, 47);(872, 606)
(1176, 49);(873, 605)
(1176, 42);(873, 604)
(1176, 47);(873, 604)
(1176, 51);(873, 604)
(1176, 51);(873, 604)
(1178, 40);(872, 606)
(1178, 40);(871, 606)
(1181, 44);(871, 606)
(1181, 41);(872, 603)
(1178, 43);(873, 603)
(1176, 36);(873, 601)
(1178, 43);(873, 601)
(1179, 43);(873, 603)
(1179, 43);(873, 603)
(1178, 43);(883, 599)
(1178, 43);(884, 593)
(1176, 36);(884, 590)
(1176, 36);(883, 590)
(1176, 36);(881, 590)
(1176, 36);(872, 600)
(1176, 36);(872, 600)
(1176, 43);(872, 601)
(1178, 52);(878, 601)
(1181, 50);(878, 602)
(1181, 50);(878, 602)
(1176, 51);(872, 602)
(1176, 49);(871, 602)
(1176, 49);(871, 602)
(1176, 49);(871, 601)
(1176, 51);(871, 601)
(1176, 52);(875, 599)
(1176, 52);(868, 600)
(1176, 51);(868, 600)
(1176, 51);(868, 600)
(1176, 51);(869, 600)
(1176, 51);(871, 599)
(1176, 55);(872, 598)
(1178, 55);(874, 600)
(1178, 55);(876, 601)
(1178, 55);(877, 600)
(1178, 55);(876, 601)
(1180, 57);(877, 601)
(1180, 57);(877, 603)
(1180, 58);(879, 602)
(1180, 58);(877, 602)
(1180, 58);(877, 601)
(1180, 56);(877, 601)
(1178, 59);(878, 601)
(1178, 59);(878, 601)
(1180, 57);(878, 601)
(1180, 57);(880, 602)
(1182, 50);(882, 601)
(1180, 56);(882, 601)
(1180, 55);(881, 603)
(1180, 48);(885, 604)
(1180, 48);(885, 604)
(1185, 51);(881, 605)
(1185, 51);(881, 603)
(1182, 53);(881, 601)
(1182, 53);(881, 601)
(1182, 53);(881, 601)
(1178, 53);(885, 596)
(1178, 53);(888, 596)
(1178, 53);(888, 596)
(1178, 53);(888, 596)
(1178, 53);(893, 605)
(1178, 53);(893, 605)
(1178, 51);(893, 605)
(1178, 51);(890, 602)
(1181, 47);(894, 604)
(1180, 44);(893, 604)
(1176, 47);(891, 604)
(1176, 47);(893, 604)
(1176, 45);(894, 604)
(1176, 45);(897, 601)
(1172, 45);(897, 604)
(1174, 45);(897, 601)
(1176, 43);(892, 604)
(1176, 43);(892, 604)
(1172, 45);(891, 604)
(1174, 45);(891, 604)
(1174, 44);(888, 601)
(1176, 43);(890, 604)
(1176, 44);(889, 604)
(1174, 38);(890, 604)
(1176, 44);(887, 599)
(1175, 45);(895, 602)
(1176, 38);(895, 602)
(1176, 38);(895, 602)
(1175, 45);(886, 599)
(1174, 38);(883, 602)
(1174, 38);(883, 602)
(1174, 43);(889, 602)
(1174, 43);(891, 594)
(1174, 43);(891, 594)
(1174, 43);(892, 594)
(1174, 43);(890, 597)
(1174, 43);(890, 598)
(1174, 36);(889, 598)
(1174, 36);(889, 599)
(1174, 41);(884, 600)
(1174, 40);(880, 600)
(1174, 39);(880, 602)
(1174, 32);(879, 602)
(1174, 39);(880, 602)
(1176, 39);(879, 601)
(1176, 39);(879, 601)
(1176, 34);(879, 601)
(1176, 34);(882, 601)
(1176, 39);(888, 600)
(1176, 39);(888, 600)
(1176, 39);(888, 599)
(1176, 39);(880, 599)
(1176, 39);(875, 602)
(1174, 39);(873, 602)
(1174, 41);(871, 602)
(1174, 41);(871, 602)
(1174, 42);(871, 602)
(1174, 36);(873, 604)
(1174, 36);(878, 606)
(1175, 42);(878, 606)
(1175, 42);(876, 606)
(1175, 42);(876, 604)
(1176, 41);(877, 604)
(1176, 41);(880, 599)
(1176, 41);(880, 599)
(1177, 42);(877, 602)
(1176, 41);(877, 600)
(1176, 40);(879, 600)
(1177, 41);(879, 599)
(1176, 40);(879, 599)
(1176, 40);(877, 598)
(1176, 40);(876, 599)
(1176, 40);(876, 599)
(1176, 39);(877, 599)
(1178, 32);(880, 600)
(1178, 32);(882, 596)
(1180, 37);(886, 590)
(1180, 37);(885, 590)
(1180, 37);(884, 592)
(1180, 37);(882, 596)
(1180, 35);(884, 593)
(1180, 35);(884, 593)
(1180, 35);(882, 594)
(1180, 37);(874, 597)
(1184, 35);(873, 597)
(1184, 35);(873, 599)
(1184, 35);(869, 599)
(1184, 35);(869, 599)
(1184, 35);(876, 596)
(1184, 37);(876, 596)
(1182, 41);(876, 596)
(1182, 41);(878, 595)
(1182, 41);(876, 595)
(1182, 41);(876, 595)
(1184, 41);(866, 599)
(1184, 41);(865, 599)
(1185, 41);(865, 599)
(1186, 41);(865, 599)
(1188, 41);(865, 598)
(1188, 41);(869, 598)
(1188, 41);(870, 598)
(1188, 41);(871, 599)
(1188, 41);(872, 599)
(1188, 36);(872, 599)
(1188, 43);(874, 598)
(1188, 43);(875, 597)
(1188, 44);(874, 597)
(1188, 43);(875, 597)
(1188, 43);(875, 597)
(1188, 43);(875, 600)
(1188, 43);(874, 600)
(1188, 43);(874, 600)
(1188, 43);(874, 600)
(1187, 44);(874, 600)
(1186, 43);(874, 600)
(1186, 36);(877, 595)
(1184, 36);(877, 599)
(1182, 43);(878, 599)
(1182, 43);(878, 599)
(1182, 43);(877, 600)
(1182, 43);(875, 600)
(1185, 43);(875, 600)
(1182, 43);(875, 600)
(1182, 43);(874, 599)
(1184, 36);(874, 599)
(1183, 35);(875, 599)
(1182, 41);(875, 600)
(1184, 42);(874, 601)
(1182, 41);(875, 601)
(1181, 35);(875, 601)
(1182, 41);(874, 601)
(1187, 45);(873, 598)
(1184, 42);(874, 598)
(1180, 44);(874, 598)
(1184, 40);(875, 598)
(1187, 43);(875, 599)
(1182, 41);(875, 601)
(1182, 41);(873, 601)
(1182, 41);(873, 601)
(1180, 41);(872, 602)
(1179, 35);(871, 601)
(1182, 40);(873, 601)
(1182, 40);(873, 601)
(1182, 36);(873, 601)
(1182, 46);(874, 601)
(1181, 43);(875, 601)
(1174, 48);(875, 603)
(1174, 40);(875, 603)
(1179, 44);(875, 603)
(1180, 45);(875, 603)
(1182, 45);(873, 603)
(1180, 43);(871, 603)
(1180, 43);(869, 603)
(1180, 42);(869, 603)
(1180, 41);(869, 603)
(1180, 40);(869, 603)
(1180, 39);(869, 603)
(1180, 34);(869, 604)
(1178, 34);(869, 604)
(1178, 41);(871, 604)
(1178, 41);(875, 604)
(1178, 42);(876, 606)
(1178, 53);(877, 606)
(1181, 52);(883, 608)
(1178, 55);(883, 608)
(1178, 55);(886, 608)
(1178, 55);(885, 608)
(1178, 55);(885, 608)
(1176, 55);(885, 608)
(1179, 55);(885, 610)
(1176, 63);(885, 610)
(1179, 68);(894, 611)
(1176, 84);(900, 607)
(1182, 85);(900, 607)
(1180, 85);(900, 607)
(1184, 81);(885, 607)
(1178, 83);(885, 607)
(1178, 83);(887, 603)
(1178, 89);(883, 607)
(1178, 89);(883, 607)
(1178, 89);(879, 607)
(1180, 82);(876, 606)
(1170, 75);(879, 601)
(1173, 76);(882, 601)
(1170, 71);(885, 601)
(1170, 72);(884, 604)
(1172, 74);(893, 598)
(1172, 84);(886, 602)
(1172, 78);(886, 601)
(1172, 84);(893, 600)
(1172, 87);(892, 602)
(1172, 87);(892, 605)
(1172, 88);(892, 605)
(1174, 82);(893, 604)
(1174, 82);(891, 606)
(1176, 88);(889, 606)
(1175, 77);(889, 603)
(1176, 84);(889, 603)
(1176, 83);(889, 603)
(1176, 83);(887, 610)
(1175, 75);(889, 609)
(1176, 76);(893, 607)
(1176, 76);(893, 607)
(1176, 78);(893, 610)
(1179, 87);(893, 610)
(1186, 87);(897, 607)
(1184, 84);(895, 610)
(1182, 90);(895, 610)
(1180, 82);(895, 610)
(1180, 81);(899, 607)
(1180, 81);(901, 607)
(1178, 79);(896, 610)
(1176, 79);(896, 610)
(1181, 76);(898, 610)
(1178, 79);(898, 610)
(1178, 79);(900, 608)
(1177, 83);(900, 608)
(1177, 83);(900, 608)
(1176, 83);(895, 608)
(1176, 83);(894, 607)
(1176, 83);(892, 607)
(1176, 83);(891, 602)
(1176, 83);(891, 602)
(1176, 83);(891, 602)
(1176, 83);(891, 604)
(1176, 85);(891, 604)
(1176, 81);(890, 604)
(1176, 81);(892, 604)
(1176, 81);(890, 604)
(1180, 78);(890, 606)
(1178, 81);(889, 606)
(1178, 81);(890, 606)
(1180, 82);(893, 603)
(1180, 77);(892, 602)
(1181, 76);(893, 602)
(1180, 75);(893, 602)
(1181, 76);(892, 602)
(1184, 71);(891, 602)
(1180, 73);(891, 602)
(1184, 71);(888, 600)
(1182, 64);(886, 597)
(1185, 66);(884, 595)
(1182, 65);(872, 596)
(1180, 67);(872, 596)
(1180, 65);(872, 596)
(1180, 65);(872, 595)
(1180, 64);(872, 596)
(1180, 64);(875, 596)
(1182, 58);(880, 593)
(1182, 58);(880, 592)
(1182, 58);(880, 592)
(1182, 58);(880, 592)
(1182, 58);(880, 591)
(1185, 61);(880, 591)
(1180, 63);(880, 591)
(1180, 63);(880, 591)
(1180, 63);(882, 592)
(1180, 63);(882, 592)
(1181, 63);(884, 592)
(1180, 56);(885, 593)
(1184, 63);(885, 593)
(1184, 63);(887, 596)
(1184, 63);(887, 596)
(1184, 63);(879, 597)
(1182, 64);(879, 597)
(1182, 63);(878, 598)
(1180, 58);(878, 598)
(1180, 65);(878, 598)
(1180, 65);(877, 598)
(1180, 65);(875, 599)
(1180, 60);(875, 598)
(1182, 60);(875, 598)
(1182, 59);(883, 596)
(1182, 60);(883, 596)
(1182, 60);(883, 596)
(1184, 65);(881, 594)
(1182, 65);(879, 594)
(1182, 65);(879, 594)
(1182, 65);(879, 594)
(1182, 65);(879, 594)
(1182, 60);(879, 594)
(1180, 66);(879, 595)
(1181, 60);(879, 595)
(1180, 59);(879, 595)
(1180, 66);(877, 595)
(1180, 66);(874, 600)
(1180, 60);(874, 600)
(1182, 60);(879, 595)
(1182, 60);(881, 595)
(1181, 65);(882, 595)
(1180, 65);(882, 595)
(1180, 65);(882, 595)
(1180, 65);(884, 595)
(1178, 59);(884, 595)
(1178, 59);(882, 596)
(1178, 60);(882, 596)
(1178, 60);(882, 596)
(1178, 59);(882, 596)
(1178, 66);(882, 596)
(1178, 66);(882, 596)
(1178, 65);(883, 596)
(1178, 65);(883, 596)
(1178, 65);(884, 596)
(1178, 66);(884, 596)
(1181, 62);(884, 595)
(1178, 65);(884, 595)
(1181, 62);(882, 595)
(1181, 61);(882, 595)
(1181, 61);(882, 595)
(1178, 65);(882, 595)
(1179, 58);(882, 595)
(1179, 58);(882, 595)
(1180, 58);(882, 595)
(1180, 64);(884, 595)
(1180, 64);(884, 595)
(1180, 64);(884, 595)
(1178, 65);(884, 595)
(1180, 65);(882, 594)
(1178, 65);(882, 594)
(1178, 65);(884, 594)
(1180, 65);(884, 594)
(1180, 65);(884, 594)
(1180, 58);(884, 594)
(1180, 58);(883, 594)
(1180, 58);(884, 594)
(1178, 58);(884, 594)
(1178, 58);(884, 594)
(1178, 65);(883, 594)
(1178, 65);(883, 595)
(1178, 65);(883, 595)
(1178, 65);(883, 595)
(1178, 65);(883, 595)
(1178, 65);(883, 595)
(1178, 65);(883, 595)
(1178, 65);(880, 599)
(1178, 65);(884, 595)
(1178, 65);(879, 600)
(1176, 65);(879, 600)
(1176, 65);(879, 600)
(1176, 65);(879, 600)
(1176, 65);(879, 600)
(1176, 65);(879, 599)
(1178, 66);(883, 595)
(1180, 66);(879, 598)
(1180, 66);(884, 594)
(1184, 65);(884, 594)
(1182, 65);(884, 594)
(1182, 65);(880, 599)
(1180, 65);(880, 599)
(1180, 65);(880, 599)
(1180, 65);(884, 595)
(1180, 65);(884, 595)
(1182, 61);(884, 595)
(1178, 64);(883, 595)
(1178, 63);(883, 595)
(1178, 63);(883, 595)
(1178, 63);(883, 594)
(1178, 63);(884, 594)
(1178, 63);(884, 594)
(1178, 63);(883, 594)
(1178, 63);(883, 594)
(1178, 63);(883, 594)
(1178, 64);(883, 594)
(1181, 60);(883, 594)
(1181, 61);(883, 595)
(1178, 66);(883, 595)
(1180, 65);(883, 595)
(1180, 65);(883, 595)
(1180, 58);(883, 595)
(1180, 58);(883, 595)
(1183, 61);(883, 595)
(1183, 61);(883, 595)
(1183, 61);(884, 594)
(1183, 61);(884, 594)
(1182, 61);(884, 594)
(1183, 60);(884, 594)
(1178, 63);(884, 594)
(1178, 63);(881, 599)
(1178, 63);(881, 599)
(1178, 63);(883, 595)
(1178, 63);(883, 595)
(1178, 63);(880, 600)
(1178, 63);(880, 600)
(1178, 64);(879, 599)
(1176, 58);(879, 599)
(1176, 58);(879, 599)
(1176, 65);(879, 599)
(1176, 65);(884, 595)
(1178, 64);(884, 595)
(1178, 58);(880, 600)
(1180, 58);(883, 597)
(1180, 58);(883, 597)
(1180, 58);(881, 601)
(1178, 58);(881, 601)
(1178, 58);(881, 601)
(1183, 60);(885, 597)
(1180, 58);(885, 596)
(1180, 58);(883, 595)
(1180, 58);(883, 595)
(1180, 58);(883, 595)
(1180, 58);(879, 599)
(1180, 65);(879, 599)
(1180, 58);(879, 599)
(1180, 58);(879, 600)
(1180, 58);(879, 600)
(1180, 58);(879, 601)
(1180, 58);(883, 597)
(1180, 58);(883, 597)
(1182, 58);(883, 597)
(1182, 58);(883, 597)
(1181, 65);(883, 597)
(1182, 58);(883, 597)
(1181, 58);(883, 597)
(1182, 65);(883, 595)
(1182, 65);(883, 596)
(1181, 58);(879, 600)
(1182, 65);(879, 600)
(1182, 65);(878, 600)
(1180, 65);(878, 600)
(1180, 65);(878, 600)
(1180, 65);(883, 595)
(1180, 65);(883, 595)
(1180, 65);(883, 595)
(1180, 65);(883, 595)
(1182, 65);(884, 596)
(1182, 65);(884, 596)
(1182, 65);(884, 596)
(1182, 65);(884, 595)
(1182, 65);(884, 595)
(1185, 60);(884, 595)
(1181, 65);(884, 595)
(1180, 65);(884, 595)
(1180, 65);(884, 595)
(1180, 65);(884, 595)
(1180, 65);(880, 600)
(1180, 65);(880, 600)
(1180, 65);(880, 601)
(1180, 65);(880, 601)
(1183, 61);(881, 601)
(1180, 56);(881, 601)
(1185, 59);(881, 601)
(1185, 59);(880, 601)
(1180, 63);(881, 601)
(1180, 63);(880, 601)
(1185, 61);(880, 601)
(1185, 61);(880, 601)
(1185, 61);(885, 597)
(1185, 61);(885, 597)
(1180, 63);(885, 597)
(1180, 56);(885, 597)
(1180, 56);(885, 597)
(1180, 56);(885, 596)
(1180, 63);(885, 596)
(1185, 61);(885, 596)
(1185, 61);(885, 596)
(1185, 61);(885, 596)
(1185, 61);(885, 596)
(1185, 61);(885, 596)
(1185, 61);(884, 596)
(1180, 57);(883, 595)
(1180, 63);(884, 595)
(1180, 63);(884, 595)
(1180, 63);(884, 595)
(1180, 63);(884, 595)
(1180, 63);(884, 595)
(1180, 63);(883, 595)
(1180, 58);(883, 595)
(1180, 58);(883, 595)
(1183, 61);(885, 595)
(1183, 61);(885, 596)
(1183, 61);(885, 596)
(1180, 58);(885, 596)
(1178, 63);(885, 596)
(1178, 63);(886, 595)
(1178, 63);(886, 595)
(1179, 63);(885, 595)
(1180, 56);(885, 595)
(1180, 56);(880, 600)
(1183, 59);(880, 600)
(1180, 56);(880, 600)
(1180, 63);(881, 600)
(1183, 59);(881, 600)
(1180, 55);(881, 600)
(1182, 59);(881, 600)
(1178, 55);(881, 600)
(1178, 55);(889, 598)
(1178, 61);(889, 598)
(1178, 61);(889, 598)
(1178, 61);(881, 600)
(1180, 61);(884, 595)
(1180, 61);(884, 595)
(1183, 59);(879, 599)
(1183, 60);(879, 599)
(1180, 63);(878, 599)
(1180, 63);(883, 596)
(1180, 63);(883, 595)
(1180, 63);(883, 595)
(1180, 63);(883, 596)
(1178, 63);(884, 596)
(1180, 63);(884, 598)
(1180, 63);(884, 598)
(1180, 63);(884, 598)
(1180, 63);(884, 596)
(1180, 61);(884, 596)
(1180, 61);(884, 596)
(1180, 61);(884, 596)
(1180, 61);(884, 596)
(1180, 62);(884, 596)
(1180, 63);(881, 600)
(1180, 63);(886, 596)
(1180, 63);(886, 596)
(1180, 64);(886, 596)
(1180, 64);(887, 596)
(1183, 61);(883, 601)
(1180, 58);(883, 601)
(1180, 58);(883, 601)
(1180, 64);(886, 597)
(1183, 60);(886, 597)
(1180, 63);(886, 597)
(1183, 59);(881, 600)
(1180, 56);(881, 601)
(1180, 56);(881, 601)
(1180, 56);(881, 601)
(1180, 56);(884, 596)
(1180, 56);(884, 596)
(1180, 56);(884, 596)
(1180, 56);(884, 597)
(1180, 56);(884, 596)
(1180, 56);(881, 600)
(1180, 56);(881, 600)
(1180, 56);(881, 600)
(1180, 56);(884, 595)
(1180, 56);(884, 595)
(1180, 56);(886, 595)
(1180, 56);(886, 595)
(1183, 59);(886, 595)
(1183, 59);(886, 595)
(1183, 59);(883, 599)
(1183, 59);(883, 599)
(1183, 59);(883, 599)
(1183, 59);(883, 599)
(1183, 59);(883, 599)
(1183, 59);(883, 600)
(1183, 59);(883, 600)
(1183, 59);(883, 600)
(1183, 59);(884, 600)
(1183, 59);(884, 600)
(1183, 59);(888, 597)
(1183, 59);(888, 597)
(1180, 63);(886, 597)
(1180, 63);(886, 597)
(1178, 63);(886, 596)
(1178, 63);(880, 600)
(1178, 63);(880, 601)
(1178, 55);(880, 602)
(1178, 55);(880, 602)
(1178, 55);(880, 602)
(1178, 55);(880, 602)
(1178, 55);(880, 602)
(1176, 56);(880, 602)
(1176, 56);(880, 602)
(1176, 56);(880, 602)
(1178, 55);(880, 602)
(1181, 59);(884, 596)
(1181, 59);(885, 596)
(1178, 55);(886, 596)
(1181, 59);(886, 596)
(1181, 59);(886, 596)
(1176, 62);(886, 596)
(1178, 62);(886, 596)
(1178, 56);(887, 597)
(1178, 56);(885, 597)
(1179, 55);(885, 597)
(1182, 59);(886, 597)
(1182, 59);(886, 597)
(1178, 56);(886, 597)
(1178, 56);(886, 597)
(1178, 56);(886, 597)
(1178, 63);(886, 597)
(1180, 63);(886, 597)
(1180, 63);(887, 597)
(1180, 63);(887, 597)
(1180, 63);(889, 597)
(1180, 63);(889, 597)
(1180, 63);(889, 597)
(1180, 63);(889, 597)
(1180, 56);(889, 597)
(1180, 56);(887, 597)
(1180, 56);(887, 597)
(1180, 56);(887, 597)
(1180, 56);(887, 597)
(1180, 64);(887, 597)
(1180, 64);(887, 597)
(1180, 64);(878, 601)
(1180, 65);(878, 601)
(1180, 65);(878, 601)
(1180, 65);(879, 601)
(1180, 65);(880, 601)
(1180, 65);(881, 600)
(1180, 66);(886, 596)
(1180, 66);(886, 596)
(1180, 65);(889, 598)
(1180, 65);(889, 598)
(1180, 63);(881, 600)
(1180, 64);(881, 600)
(1180, 64);(887, 598)
(1184, 60);(887, 598)
(1184, 60);(887, 598)
(1184, 60);(887, 598)
(1180, 63);(887, 598)
(1180, 63);(881, 600)
(1180, 63);(889, 598)
(1180, 63);(889, 598)
(1180, 63);(889, 598)
(1184, 61);(889, 598)
(1184, 61);(889, 598)
(1180, 63);(889, 598)
(1180, 63);(889, 598)
(1180, 63);(889, 598)
(1184, 60);(882, 601)
(1180, 63);(882, 601)
(1180, 63);(882, 601)
(1180, 63);(882, 600)
(1180, 63);(882, 600)
(1183, 60);(882, 600)
(1180, 63);(882, 600)
(1178, 63);(883, 601)
(1178, 63);(884, 601)
(1178, 64);(884, 601)
(1178, 64);(884, 600)
(1178, 64);(883, 601)
(1178, 65);(882, 600)
(1180, 65);(882, 600)
(1180, 66);(882, 600)
(1180, 66);(881, 600)
(1180, 66);(881, 600)
(1180, 58);(881, 600)
(1184, 61);(882, 600)
(1180, 65);(883, 600)
(1180, 58);(883, 600)
(1183, 61);(886, 597)
(1183, 61);(886, 597)
(1178, 58);(886, 596)
(1182, 60);(886, 596)
(1178, 55);(886, 596)
(1178, 55);(886, 596)
(1178, 55);(886, 596)
(1178, 55);(886, 596)
(1178, 56);(886, 596)
(1178, 56);(886, 596)
(1178, 61);(886, 596)
(1178, 59);(886, 596)
(1178, 59);(881, 600)
(1178, 59);(884, 596)
(1178, 52);(884, 596)
(1178, 52);(884, 596)
(1178, 52);(884, 596)
(1178, 52);(879, 600)
(1178, 59);(884, 597)
(1178, 53);(884, 597)
(1178, 53);(884, 597)
(1178, 53);(884, 597)
(1178, 53);(881, 601)
(1178, 61);(881, 601)
(1178, 61);(881, 601)
(1178, 61);(881, 600)
(1180, 61);(881, 600)
(1178, 60);(881, 600)
(1178, 60);(881, 600)
(1178, 60);(881, 600)
(1178, 60);(881, 600)
(1181, 57);(881, 600)
(1178, 61);(881, 600)
(1178, 61);(881, 600)
(1178, 61);(881, 600)
(1178, 61);(886, 596)
(1178, 61);(886, 596)
(1178, 61);(886, 596)
(1178, 61);(886, 596)
(1178, 61);(886, 596)
(1178, 61);(881, 599)
(1176, 61);(881, 599)
(1178, 61);(881, 600)
(1178, 61);(884, 596)
(1181, 59);(884, 596)
(1178, 63);(884, 596)
(1176, 55);(884, 596)
(1180, 59);(881, 600)
(1176, 55);(881, 600)
(1176, 55);(881, 600)
(1176, 55);(884, 601)
(1176, 61);(884, 601)
(1176, 62);(884, 601)
(1176, 62);(884, 601)
(1176, 62);(883, 600)
(1178, 61);(883, 600)
(1178, 61);(883, 600)
(1178, 61);(883, 600)
(1178, 54);(883, 600)
(1177, 54);(884, 600)
(1176, 54);(884, 600)
(1176, 54);(887, 595)
(1176, 54);(887, 595)
(1176, 61);(884, 600)
(1176, 61);(883, 600)
(1178, 61);(886, 599)
(1178, 61);(886, 599)
(1178, 61);(886, 599)
(1178, 61);(886, 597)
(1180, 58);(882, 600)
(1176, 54);(881, 600)
(1176, 54);(881, 600)
(1176, 54);(881, 600)
(1182, 58);(881, 600)
(1178, 61);(881, 600)
(1178, 61);(882, 600)
(1178, 61);(882, 600)
(1178, 61);(883, 600)
(1178, 61);(884, 600)
(1178, 61);(884, 600)
(1178, 61);(884, 600)
(1178, 61);(883, 600)
