Purple Coordinates;Orange Coordinates
(1149, 48);(876, 593)
(1149, 48);(875, 594)
(1150, 48);(868, 598)
(1150, 48);(867, 597)
(1150, 48);(867, 597)
(1150, 50);(867, 597)
(1150, 55);(867, 597)
(1150, 55);(866, 597)
(1150, 55);(866, 598)
(1150, 55);(866, 599)
(1153, 52);(870, 599)
(1150, 55);(870, 599)
(1148, 55);(870, 599)
(1148, 55);(870, 599)
(1150, 49);(870, 599)
(1151, 50);(869, 599)
(1151, 50);(869, 599)
(1151, 50);(868, 599)
(1151, 50);(868, 599)
(1152, 49);(868, 599)
(1151, 49);(866, 600)
(1152, 55);(866, 600)
(1152, 55);(870, 600)
(1152, 56);(874, 595)
(1152, 56);(874, 595)
(1152, 49);(874, 594)
(1152, 50);(874, 594)
(1152, 50);(875, 595)
(1152, 57);(875, 595)
(1153, 52);(875, 596)
(1153, 52);(876, 596)
(1153, 52);(876, 596)
(1150, 57);(875, 596)
(1152, 55);(875, 595)
(1152, 55);(872, 598)
(1152, 55);(877, 594)
(1155, 52);(877, 595)
(1152, 55);(877, 595)
(1150, 55);(877, 595)
(1150, 55);(877, 595)
(1150, 55);(876, 595)
(1150, 55);(876, 595)
(1150, 56);(876, 595)
(1152, 50);(876, 595)
(1152, 50);(876, 594)
(1150, 55);(875, 595)
(1152, 57);(876, 595)
(1152, 57);(876, 594)
(1152, 57);(877, 594)
(1152, 57);(877, 595)
(1152, 57);(877, 594)
(1152, 57);(877, 594)
(1152, 57);(876, 594)
(1150, 57);(876, 594)
(1150, 57);(876, 594)
(1150, 57);(876, 594)
(1150, 57);(876, 594)
(1150, 57);(876, 595)
(1150, 50);(870, 598)
(1150, 50);(870, 598)
(1150, 50);(871, 599)
(1150, 55);(871, 599)
(1150, 55);(871, 599)
(1152, 55);(871, 600)
(1152, 55);(871, 600)
(1152, 55);(871, 600)
(1150, 50);(871, 600)
(1150, 50);(871, 600)
(1152, 55);(872, 600)
(1152, 55);(872, 599)
(1152, 55);(872, 599)
(1152, 55);(877, 595)
(1152, 55);(872, 599)
(1150, 50);(876, 595)
(1150, 50);(871, 599)
(1150, 50);(871, 599)
(1150, 50);(871, 599)
(1150, 50);(871, 599)
(1151, 50);(871, 599)
(1152, 57);(871, 599)
(1152, 57);(871, 599)
(1152, 57);(871, 599)
(1152, 57);(871, 599)
(1152, 50);(870, 599)
(1151, 50);(870, 599)
(1150, 50);(874, 594)
(1150, 50);(874, 594)
(1150, 50);(872, 598)
(1150, 50);(872, 598)
(1150, 50);(873, 598)
(1150, 56);(877, 599)
(1152, 55);(877, 600)
(1152, 55);(877, 600)
(1152, 55);(873, 600)
(1152, 55);(872, 600)
(1152, 55);(871, 600)
(1152, 55);(871, 600)
(1152, 55);(870, 600)
(1152, 55);(870, 600)
(1152, 55);(871, 600)
(1152, 55);(871, 600)
(1152, 55);(872, 600)
(1154, 52);(872, 600)
(1150, 50);(880, 601)
(1150, 50);(880, 601)
(1150, 50);(880, 601)
(1150, 50);(880, 601)
(1150, 50);(871, 600)
(1150, 50);(871, 600)
(1150, 48);(870, 601)
(1150, 48);(871, 600)
(1150, 50);(871, 600)
(1150, 50);(870, 598)
(1150, 50);(871, 599)
(1151, 50);(871, 599)
(1152, 57);(871, 599)
(1152, 57);(870, 598)
(1152, 57);(870, 598)
(1152, 57);(870, 598)
(1152, 57);(869, 600)
(1150, 55);(869, 600)
(1152, 55);(869, 600)
(1150, 55);(869, 600)
(1150, 55);(869, 600)
(1150, 55);(870, 600)
(1150, 55);(870, 600)
(1150, 56);(871, 600)
(1154, 53);(871, 600)
(1154, 53);(870, 598)
(1154, 53);(870, 598)
(1154, 53);(869, 600)
(1154, 53);(869, 600)
(1154, 53);(869, 600)
(1150, 57);(869, 600)
(1150, 57);(869, 600)
(1152, 50);(869, 600)
(1152, 48);(869, 599)
(1152, 48);(871, 598)
(1152, 48);(871, 598)
(1152, 48);(872, 598)
(1150, 48);(872, 598)
(1150, 48);(872, 598)
(1150, 48);(872, 598)
(1150, 48);(872, 598)
(1152, 48);(871, 598)
(1150, 55);(870, 598)
(1150, 55);(870, 598)
(1150, 55);(870, 599)
(1150, 55);(870, 599)
(1150, 55);(871, 598)
(1150, 55);(871, 598)
(1150, 55);(871, 598)
(1150, 55);(871, 598)
(1152, 55);(870, 599)
(1152, 55);(870, 599)
(1152, 55);(870, 599)
(1152, 48);(871, 598)
(1153, 48);(875, 595)
(1153, 48);(872, 598)
(1150, 54);(873, 600)
(1150, 54);(873, 599)
(1150, 54);(873, 599)
(1152, 53);(873, 599)
(1152, 53);(873, 599)
(1152, 53);(872, 599)
(1157, 52);(870, 598)
(1158, 52);(869, 598)
(1158, 49);(865, 598)
(1158, 49);(865, 598)
(1158, 48);(864, 597)
(1158, 47);(860, 597)
(1158, 40);(860, 598)
(1158, 40);(860, 598)
(1158, 46);(868, 598)
(1158, 46);(860, 591)
(1160, 45);(860, 590)
(1160, 45);(858, 590)
(1157, 46);(858, 590)
(1162, 51);(858, 590)
(1166, 48);(858, 590)
(1166, 51);(862, 587)
(1170, 47);(866, 587)
(1170, 47);(871, 587)
(1171, 46);(871, 588)
(1168, 48);(871, 589)
(1170, 48);(869, 594)
(1172, 49);(868, 594)
(1174, 50);(868, 594)
